INFO | Loading clean dataset
INFO | step 900 epoch 2 loss=1.1886 elapsed=285s
INFO | step 910 epoch 2 loss=3.0382 elapsed=287s
INFO | step 920 epoch 2 loss=1.4206 elapsed=290s
INFO | step 930 epoch 2 loss=1.2225 elapsed=292s
INFO | epoch 2 done  val_log_mse=4.5077  ood_log_mse=6.5208  elapsed=293s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_002.pkl
INFO | step 940 epoch 3 loss=0.9272 elapsed=296s
INFO | step 950 epoch 3 loss=1.6311 elapsed=298s
INFO | step 960 epoch 3 loss=0.8373 elapsed=301s
INFO | step 970 epoch 3 loss=0.7916 elapsed=304s
INFO | step 980 epoch 3 loss=0.6067 elapsed=306s
INFO | step 990 epoch 3 loss=0.8244 elapsed=309s
INFO | step 1000 epoch 3 loss=1.6831 elapsed=312s
INFO | step 1010 epoch 3 loss=0.5953 elapsed=314s
INFO | step 1020 epoch 3 loss=0.8347 elapsed=317s
INFO | step 1030 epoch 3 loss=0.9351 elapsed=319s
INFO | step 1040 epoch 3 loss=1.1212 elapsed=321s
INFO | step 1050 epoch 3 loss=1.2078 elapsed=324s
INFO | step 1060 epoch 3 loss=2.1581 elapsed=326s
INFO | step 1070 epoch 3 loss=1.0257 elapsed=328s
INFO | step 1080 epoch 3 loss=0.8968 elapsed=331s
INFO | step 1090 epoch 3 loss=0.8945 elapsed=333s
INFO | step 1100 epoch 3 loss=1.0474 elapsed=335s
INFO | step 1110 epoch 3 loss=1.2305 elapsed=337s
INFO | step 1120 epoch 3 loss=1.1671 elapsed=340s
INFO | step 1130 epoch 3 loss=0.7376 elapsed=342s
INFO | step 1140 epoch 3 loss=0.8279 elapsed=344s
INFO | step 1150 epoch 3 loss=0.6065 elapsed=347s
INFO | step 1160 epoch 3 loss=0.6631 elapsed=349s
INFO | step 1170 epoch 3 loss=1.3506 elapsed=351s
INFO | step 1180 epoch 3 loss=0.5490 elapsed=353s
INFO | step 1190 epoch 3 loss=0.9657 elapsed=355s
INFO | step 1200 epoch 3 loss=1.3155 elapsed=357s
INFO | step 1210 epoch 3 loss=1.0122 elapsed=360s
INFO | step 1220 epoch 3 loss=0.7995 elapsed=362s
INFO | step 1230 epoch 3 loss=0.9931 elapsed=364s
INFO | step 1240 epoch 3 loss=0.9805 elapsed=366s
INFO | epoch 3 done  val_log_mse=2.7027  ood_log_mse=8.5633  elapsed=367s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_003.pkl
INFO | step 1250 epoch 4 loss=1.3893 elapsed=369s
INFO | step 1260 epoch 4 loss=0.7961 elapsed=371s
